org,repo,score,issue_open_close_ratio,num_open_pr,pr_open_duration,num_contributors,comments_per_pr,commit_per_dev,num_releases,num_commits,issue_open_user,issue_open_duration
mattvalli,ucsc-bootcamp-project-1,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
kamirdin,github-slideshow,0.74999994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
bwreplate,Front-End,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
project-bookr,UI,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
build-week-bucketlist,Marketing-Page,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
nlabtpu,acceleration-graph,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
lambda-secretcookbook,cookbook-marketing,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
build-week-disney-parent,ui-disney,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
randomslap,Project-3,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JonathanES,software-engineering-CS673,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
kir-,midterm-map,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
qkrwldnjsdl1,Midterm-Project,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ElPat0,final-project,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
noisecontrol-lambda,Front-End,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
patrickvenkat,LetTheEveningBeGin,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
panda-whale-29,Go-Green,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MineraJL,Fiuba-TP2_Java,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
potluck-planner-7-29-8-2,frontend,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
pahferreira,destetik-backend,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
airbnb-price-opt,front-end,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonorlowski1,Project-3-DM-App,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DamianAngelidis,final-project,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
firecomm,firecomm.io,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mengqi89,everest-client,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
istio-releases,pipeline,0.74998915,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
seek-oss,treat,0.74998915,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
labs14-stampd,frontend,0.74998915,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
build-week-dv-empathy-builder,Marketing-page,0.74997836,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft,PTVS,0.74996936,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
DagonMetric,angular-build,0.7499676,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
borbskeeper,borbskeeper,0.7499676,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Homebrew,homebrew-cask,0.7499676,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hanzhongyuan,womenzuibang,0.7499676,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryyder,project-3,0.7499352,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalamath,bWoke,0.7499352,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
salkoffd,specialsauce,0.7499244,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
pulumi,docs,0.7499044,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0
OneSignal,OneSignal-Android-SDK,0.74985963,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
viant3,project1,0.74985355,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0
the-warp-zone,WorkOrderWizard,0.74983805,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Samsung,escargot,0.7498273,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
apache,geode,0.7498273,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
sjtu-jiaojiao,SJTU-JiaoJiao,0.74969774,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
codenation-dev,squad-6-ad-python-2,0.7494171,0.0,0.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
dotnet,coreclr,0.7483203,3.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0
vesoft-inc,nebula,0.7477679,0.0,0.0,1241.0,1.0,18.0,0.0,0.0,0.0,0.0,1263.0
NuGet,NuGet.Client,0.7475174,0.0,0.0,230.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MahdiurRahman,campus-manager-frontend,0.74721026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
chiflix,splayerx,0.7467948,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
artsy,reaction,0.7467409,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
conda-forge,git-annex-feedstock,0.7462831,0.0,0.0,25.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0
python-discord,branding,0.74611026,0.0,0.0,319.0,1.0,15.0,0.0,0.0,0.0,0.0,1991.0
dotnet,docs,0.74592936,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1827.0
Xilinx,XRT,0.74589795,0.0,1.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
nalbam,sample-spring,0.7458342,0.0,0.0,89.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
anahisbarrie,weardrobeDB,0.7458333,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
gophercloud,gophercloud,0.74528176,0.0,0.0,71.0,1.0,8.0,0.0,1.0,0.0,0.0,88.0
metatron-app,metatron-discovery,0.74483067,1.0,1.0,139.0,1.0,2.0,0.0,0.0,0.0,2.0,79.0
binary-com,deriv-app,0.7444732,0.0,1.0,160.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
microsoft,vscode,0.74444145,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
AzureAD,microsoft-authentication-library-for-dotnet,0.7444228,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
tensorflow,models,0.7444228,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
paramt,MemeAdviser,0.7435897,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
rz-studio-inc,hudson-hemp,0.7435897,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
geroneia,996317-cat-energy-17,0.7435897,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
bs-community,azp-test,0.7435897,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
WeQs,Welcome_pack,0.7435897,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
espidev,ebackup,0.7435897,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
naguigui,market-data-company,0.7435897,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
RicardoJavierFernandez,Project-1,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
cloud-custodian,cloud-custodian,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
om289560,project-1,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
